Date,Asset1,Asset2,Spread,ZScore
2019-12-23,72.27981567382812,68.32538604736328,0.09163721650236312,0.2510331566034352
2019-12-24,72.42887878417969,68.30542755126953,0.261787181405424,0.42552085151085306
2019-12-26,72.587890625,68.28547668457031,0.44187781605300813,0.6087003662117653
2019-12-27,72.71709442138672,68.34534454345703,0.5078291095094585,0.6670147637371173
2019-12-30,72.33943939208984,68.07591247558594,0.41483855593354235,0.5523034469024402
2019-12-31,72.46864318847656,68.10585021972656,0.5124120704930277,0.6441891851353574
2020-01-02,72.96553802490234,68.87422180175781,0.19749524958314169,0.2916700327525349
2020-01-03,73.04505157470703,68.95404815673828,0.1926694419060624,0.27777511082771267
2020-01-06,73.12454986572266,68.7744369506836,0.46193330243670516,0.5608978377678879
2020-01-07,73.07486724853516,68.98399353027344,0.19084677318272725,0.25434048347420934
2020-01-08,73.42269134521484,69.00394439697266,0.5175920760351431,0.6006846520282836
2020-01-09,73.9295425415039,69.55278015136719,0.44457895433075123,0.506409455149685
2020-01-10,73.8102798461914,69.58272552490234,0.2936779164667911,0.32562696436841776
2020-01-13,74.57551574707031,70.3510971069336,0.24710216001003005,0.257751654689022
2020-01-14,74.51589965820312,70.40099334716797,0.13476893476409657,0.11722751033361217
2020-01-15,74.71465301513672,70.74027252197266,-0.024938114229271946,-0.07618076033376199
2020-01-16,75.3804931640625,71.24920654296875,0.10319530435761237,0.060298814816304856
2020-01-17,75.63890075683594,71.57850646972656,0.01368591847982259,-0.050004863354955034
2020-01-21,75.59913635253906,71.36894226074219,0.19533348697363806,0.14936111997964735
2020-01-22,75.78797149658203,71.44876861572266,0.29982927353484,0.2578847349918048
2020-01-23,75.93704223632812,71.80801391601562,0.06934469207826055,-0.025166156696668194
2020-01-24,75.30099487304688,71.20928955078125,0.06587072244496994,-0.04574300112873802
2020-01-27,74.1084213256836,70.3211669921875,-0.18837004027366788,-0.3637921685159422
2020-01-28,75.09229278564453,71.21926879882812,-0.153374792233123,-0.34011643160144456
2020-01-29,74.91341400146484,71.15938568115234,-0.2689849520341028,-0.5138668920346912
2020-01-30,75.13204193115234,71.11946868896484,-0.008183313243620205,-0.21267986793412638
2020-01-31,73.82022094726562,69.67253112792969,0.20873623278350806,0.056019355062616655
2020-02-03,74.75440216064453,70.28125,0.4997845037902522,0.4287639651651936
2020-02-04,76.23517608642578,71.71821594238281,0.462353266209206,0.3703896529951794
2020-02-05,76.01654052734375,71.83795928955078,0.11720464054242541,-0.08661291755693741
2020-02-06,76.2252426147461,72.11736297607422,0.030706885672273643,-0.21405760012680775
2020-02-07,75.79790496826172,71.87786102294922,-0.1435885061941633,-0.45841138438044166
2020-02-10,76.45381927490234,72.24708557128906,0.12222705196802508,-0.11561133800129127
2020-02-11,76.98053741455078,72.63626861572266,0.23775958858654178,0.04037530215636201
2020-02-12,77.48738861083984,72.8757553100586,0.49158465170610555,0.3713363758429751
2020-02-13,77.72589111328125,73.03541564941406,0.5614003784597656,0.4552776333888885
2020-02-14,78.17311096191406,73.25495147705078,0.776672887750351,0.7317976153081824
2020-02-18,78.20293426513672,73.36471557617188,0.6905265516640071,0.6064479555881396
2020-02-19,78.91847229003906,74.09318542480469,0.636410506885241,0.5247045077471055
2020-02-20,78.64019775390625,73.24497985839844,1.2542950462940752,1.3312960600745634
2020-02-21,77.49732208251953,72.486572265625,0.9127037264157138,0.8662462059272673
2020-02-24,75.09229278564453,70.41097259521484,0.7006186349297678,0.5790346700281799
2020-02-25,72.69721221923828,67.84640502929688,1.0150940889757436,0.9870850797505071
2020-02-26,72.37920379638672,67.57697296142578,0.98175014184514,0.940075302968178
