,date,Close
130,2012-10-01,"5,619.70"
131,2012-09-01,"5,703.30"
132,2012-08-01,"5,258.50"
133,2012-07-01,"5,229.00"
134,2012-06-01,"5,278.90"
135,2012-05-01,"4,924.25"
136,,"5,248.15"
137,2012-03-01,"5,295.55"
138,2012-02-01,"5,385.20"
139,2012-01-01,"5,199.25"
140,2011-12-01,"4,624.30"
141,2011-11-01,"4,832.05"
142,2011-10-01,"5,326.60"
143,2011-09-01,"4,943.25"
144,2011-08-01,"5,001.00"
145,2011-07-01,"5,482.00"
146,2011-06-01,"5,647.40"
147,2011-05-01,"5,560.15"
148,,"5,749.50"
149,2011-03-01,"5,833.75"
150,2011-02-01,"5,333.25"
151,2011-01-01,"5,505.90"
152,2010-12-01,"6,134.50"
153,2010-11-01,"5,862.70"
154,2010-10-01,"6,017.70"
155,2010-09-01,"6,029.95"
156,2010-08-01,"5,402.40"
157,2010-07-01,"5,367.60"
158,2010-06-01,"5,312.50"
159,2010-05-01,"5,086.30"
160,,"5,278.00"
161,2010-03-01,"5,249.10"
162,2010-02-01,"4,922.30"
163,2010-01-01,"4,882.05"
164,2009-12-01,"5,201.05"
165,2009-11-01,"5,032.70"
166,2009-10-01,"4,711.70"
167,2009-09-01,"5,083.95"
168,2009-08-01,"4,662.10"
169,2009-07-01,"4,636.45"
170,2009-06-01,"4,291.10"
171,2009-05-01,"4,448.95"
172,,"3,473.95"
173,2009-03-01,"3,020.95"
174,2009-02-01,"2,763.65"
175,2009-01-01,"2,874.80"
176,2008-12-01,"2,959.15"
177,2008-11-01,"2,755.10"
178,2008-10-01,"2,885.60"
179,2008-09-01,"3,921.20"
180,2008-08-01,"4,360.00"
181,2008-07-01,"4,332.95"
182,2008-06-01,"4,040.55"
183,2008-05-01,"4,870.10"
184,,"5,165.90"
185,2008-03-01,"4,734.50"
186,2008-02-01,"5,223.50"
187,2008-01-01,"5,137.45"
188,2007-12-01,"6,138.60"
189,2007-11-01,"5,762.75"
190,2007-10-01,"5,900.65"
191,2007-09-01,"5,021.35"
192,2007-08-01,"4,464.00"
193,2007-07-01,"4,528.85"
194,2007-06-01,"4,318.30"
195,2007-05-01,"4,295.80"
196,,"4,087.90"
197,2007-03-01,"3,821.55"
198,2007-02-01,"3,745.30"
199,2007-01-01,"4,082.70"
200,2006-12-01,"3,966.40"
201,2006-11-01,"3,954.50"
202,2006-10-01,"3,744.10"
203,2006-09-01,"3,588.40"
204,2006-08-01,"3,413.90"
205,2006-07-01,"3,143.20"
206,2006-06-01,"3,128.20"
207,2006-05-01,"3,071.05"
208,,"3,557.60"
209,2006-03-01,"3,402.55"
210,2006-02-01,"3,074.70"
211,2006-01-01,"3,001.10"
212,2005-12-01,"2,836.55"
213,2005-11-01,"2,652.25"
214,2005-10-01,"2,370.95"
215,2005-09-01,"2,601.40"
216,2005-08-01,"2,384.65"
217,2005-07-01,"2,312.30"
218,2005-06-01,"2,220.60"
219,2005-05-01,"2,087.55"
220,,"1,902.50"
221,2005-03-01,"2,035.65"
222,2005-02-01,"2,103.25"
223,2005-01-01,"2,057.60"
224,2004-12-01,"2,080.50"
225,2004-11-01,"1,958.80"
226,2004-10-01,"1,786.90"
227,2004-09-01,"1,745.50"
228,2004-08-01,"1,631.75"
229,2004-07-01,"1,632.30"
230,2004-06-01,"1,505.60"
231,2004-05-01,"1,483.60"
232,,"1,796.10"
233,2004-03-01,"1,771.90"
234,2004-02-01,"1,800.30"
235,2004-01-01,"1,809.75"
236,2003-12-01,"1,879.75"
237,2003-11-01,"1,615.25"
238,2003-10-01,"1,555.90"
239,2003-09-01,"1,417.10"
240,2003-08-01,"1,356.55"
241,2003-07-01,"1,185.85"
242,2003-06-01,"1,134.15"
243,2003-05-01,"1,006.80"
244,,934.05
245,2003-03-01,978.20
246,2003-02-01,"1,063.40"
247,2003-01-01,"1,041.85"
248,2002-12-01,"1,093.50"
249,2002-11-01,"1,050.15"
250,2002-10-01,951.40
251,2002-09-01,963.15
252,2002-08-01,"1,010.60"
253,2002-07-01,958.90
254,2002-06-01,"1,057.80"
255,2002-05-01,"1,028.80"
256,,"1,084.50"
257,2002-03-01,"1,129.55"
258,2002-02-01,"1,142.05"
259,2002-01-01,"1,075.40"
