Date,Open,High,Low,Close,Volume
2020-10-08,11423.849609375,11536.150390625,11375.75,11433.5,1637800.0
2020-10-09,11477.099609375,11726.2001953125,11420.900390625,11648.4501953125,2258900.0
2020-10-12,11691.5,11798.9501953125,11518.5,11589.900390625,1699800.0
2020-10-13,11572.599609375,11612.0498046875,11449.849609375,11480.9501953125,1262900.0
2020-10-14,11435.849609375,11722.5498046875,11344.150390625,11686.650390625,1419900.0
2020-10-15,11705.349609375,11771.349609375,11309.0498046875,11341.599609375,1706300.0
2020-10-16,11395.900390625,11569.150390625,11364.099609375,11512.7998046875,1265800.0
2020-10-19,11691.5498046875,11825.650390625,11631.099609375,11803.75,1984700.0
2020-10-20,11770.7001953125,11880.2001953125,11730.0,11820.7998046875,1418500.0
2020-10-21,11880.5,12022.5498046875,11724.099609375,11964.400390625,2041900.0
2020-10-22,11885.2001953125,12003.2998046875,11818.9501953125,11921.349609375,1611700.0
2020-10-23,12003.0498046875,12043.5498046875,11898.650390625,11947.400390625,1479000.0
2020-10-26,11957.400390625,11976.9501953125,11722.0498046875,11827.849609375,1480800.0
2020-10-27,11905.0,12102.099609375,11771.349609375,12082.099609375,2050400.0
2020-10-28,12070.650390625,12070.650390625,11747.900390625,11802.400390625,1697400.0
2020-10-29,11702.9501953125,11846.2998046875,11633.349609375,11710.650390625,1853700.0
2020-10-30,11699.2998046875,11783.7001953125,11511.4501953125,11636.0498046875,1832500.0
2020-11-02,11789.7998046875,12174.0,11700.9501953125,12089.0498046875,2459600.0
2020-11-03,12158.849609375,12497.0,12150.7001953125,12468.2001953125,2237900.0
2020-11-04,12403.5,12507.0498046875,12215.4501953125,12458.25,2462500.0
2020-11-05,12601.849609375,12684.4501953125,12542.150390625,12659.349609375,2588700.0
2020-11-06,12653.0,12915.650390625,12612.0,12893.7998046875,2040400.0
2020-11-09,13007.9501953125,13184.7001953125,13001.900390625,13158.25,2048600.0
2020-11-10,13377.900390625,13736.650390625,13340.25,13698.599609375,3470600.0
2020-11-11,13751.900390625,13928.2001953125,13633.150390625,13889.900390625,3182600.0
2020-11-12,13783.25,13801.7001953125,13611.2998046875,13743.349609375,2127000.0
2020-11-13,13676.599609375,13798.2001953125,13531.599609375,13779.75,2154600.0
2020-11-17,13948.650390625,14128.7998046875,13884.0498046875,14109.349609375,2243700.0
2020-11-18,14071.5,14315.849609375,14038.9501953125,14301.4501953125,2502400.0
2020-11-19,14127.0498046875,14276.7998046875,13942.7998046875,13973.5,2529700.0
2020-11-20,13994.650390625,14273.0498046875,13936.2001953125,14210.5,2315000.0
2020-11-23,14293.75,14309.849609375,13989.650390625,14059.099609375,1985900.0
2020-11-24,14170.9501953125,14312.599609375,14139.0498046875,14275.25,1989200.0
2020-11-25,14393.5498046875,14439.2998046875,13981.75,14011.7001953125,2349200.0
2020-11-26,14080.150390625,14271.75,13944.2998046875,14237.650390625,2262000.0
2020-11-27,14277.25,14334.150390625,14136.150390625,14293.150390625,3361700.0
2020-12-01,14358.2001953125,14410.349609375,14209.25,14352.0498046875,1500400.0
2020-12-02,14360.099609375,14363.349609375,14053.849609375,14187.5,1662300.0
2020-12-03,14301.7001953125,14305.349609375,14094.7001953125,14138.75,2242200.0
2020-12-04,14181.400390625,14357.400390625,14124.099609375,14286.4501953125,2205400.0
2020-12-07,14277.849609375,14383.900390625,14221.900390625,14360.25,2200600.0
2020-12-08,14410.75,14440.150390625,14315.099609375,14384.7001953125,1707700.0
2020-12-09,14418.099609375,14580.25,14416.4501953125,14554.2998046875,1780600.0
2020-12-10,14504.650390625,14505.349609375,14342.75,14450.099609375,1564900.0
2020-12-11,14492.150390625,14577.25,14376.650390625,14501.900390625,1733300.0
2020-12-14,14560.650390625,14583.7998046875,14458.5498046875,14561.5,1320700.0
2020-12-15,14569.650390625,14695.150390625,14437.599609375,14673.0,1607700.0
2020-12-16,14800.0498046875,14838.2998046875,14694.4501953125,14789.2998046875,1308500.0
2020-12-17,14843.5498046875,14988.900390625,14772.400390625,14963.5498046875,1221600.0
2020-12-18,14937.0,14946.650390625,14741.2998046875,14879.150390625,1314900.0
2020-12-21,14830.849609375,14847.5498046875,14250.7998046875,14392.599609375,1708300.0
2020-12-22,14453.650390625,14484.0,14145.9501953125,14421.599609375,1895400.0
2020-12-23,14391.7998046875,14544.900390625,14343.099609375,14517.0498046875,1159200.0
2020-12-24,14607.25,14836.599609375,14576.75,14779.599609375,1147600.0
2020-12-28,14851.849609375,14988.150390625,14843.75,14966.4501953125,1089900.0
2020-12-29,15021.900390625,15144.0498046875,15015.849609375,15120.0,1233100.0
2020-12-30,15181.5498046875,15184.25,15004.400390625,15162.900390625,1083800.0
2020-12-31,15165.7998046875,15273.7001953125,15092.7998046875,15208.0,1170400.0
2021-01-04,15289.650390625,15290.900390625,15016.7998046875,15193.0498046875,1249900.0
2021-01-05,15159.2998046875,15405.4501953125,15105.75,15380.5498046875,1518700.0
2021-01-06,15444.2001953125,15451.900390625,15281.349609375,15393.9501953125,1616600.0
2021-01-07,15529.7998046875,15540.599609375,15400.4501953125,15424.5498046875,1364100.0
2021-01-08,15557.099609375,15557.5498046875,15430.849609375,15511.150390625,1363300.0
2021-01-11,15613.5,15626.849609375,15493.25,15605.099609375,1113700.0
2021-01-12,15554.5498046875,15733.0,15510.349609375,15711.9501953125,1367200.0
2021-01-13,15803.4501953125,15848.25,15480.400390625,15624.0498046875,1845100.0
2021-01-14,15615.349609375,15692.7001953125,15567.599609375,15608.9501953125,1139700.0
2021-01-15,15576.900390625,15613.849609375,15364.349609375,15453.4501953125,1248100.0
2021-01-18,15484.0,15525.349609375,15193.900390625,15246.150390625,1732800.0
2021-01-19,15356.2001953125,15648.7998046875,15269.150390625,15614.099609375,1401600.0
2021-01-20,15613.7998046875,15703.349609375,15541.849609375,15663.0,1155400.0
2021-01-21,15721.2001953125,15748.4501953125,15463.650390625,15546.7001953125,1316900.0
2021-01-25,15323.400390625,15447.7998046875,15102.349609375,15143.650390625,1564900.0
2021-01-27,15156.75,15156.75,14687.75,14723.900390625,1587700.0
2021-01-28,14510.349609375,14634.9501953125,14352.2001953125,14602.849609375,2253700.0
2021-01-29,14768.5498046875,14876.400390625,14545.349609375,14593.2998046875,2220400.0
2021-02-01,14779.7998046875,15770.75,14732.650390625,15702.4501953125,2992500.0
2021-02-02,15943.4501953125,16455.44921875,15928.4501953125,16208.900390625,3016200.0
2021-02-03,16360.099609375,16452.44921875,16074.849609375,16403.650390625,2007300.0
2021-02-04,16379.0,16633.55078125,16190.5,16606.900390625,2775600.0
2021-02-05,16643.69921875,16987.55078125,16641.099609375,16724.0,3636300.0
2021-02-08,16917.349609375,17036.55078125,16806.80078125,16862.30078125,1721000.0
2021-02-09,16931.75,17080.599609375,16747.099609375,16904.900390625,1739000.0
2021-02-10,16903.099609375,16992.69921875,16730.25,16869.349609375,1803000.0
2021-02-11,16806.75,16950.25,16790.05078125,16861.849609375,1220400.0
2021-02-12,16843.19921875,17077.55078125,16839.55078125,17016.30078125,1492600.0
2021-02-16,17564.099609375,17654.44921875,17320.849609375,17448.30078125,1993900.0
2021-02-18,17296.400390625,17302.900390625,16923.349609375,17000.599609375,1731800.0
2021-02-19,16901.099609375,17035.900390625,16634.150390625,16747.099609375,1709700.0
2021-02-22,16754.400390625,16832.55078125,16404.599609375,16479.19921875,1799800.0
2021-02-23,16589.80078125,16636.75,16351.900390625,16394.80078125,1451000.0
2021-02-24,16408.150390625,17007.69921875,16371.2001953125,16951.44921875,1078400.0
2021-02-25,17052.19921875,17214.0,16892.69921875,16919.30078125,1899600.0
2021-02-26,16618.25,16636.599609375,16011.25,16085.25,2548700.0
2021-03-01,16314.4501953125,16462.349609375,16199.900390625,16372.849609375,1215800.0
2021-03-02,16458.599609375,16543.94921875,16220.5,16398.599609375,1197100.0
2021-03-03,16577.05078125,16884.349609375,16493.05078125,16854.400390625,1450700.0
2021-03-04,16516.05078125,16731.30078125,16445.30078125,16550.599609375,1575000.0
2021-03-05,16408.5,16497.44921875,16223.2998046875,16345.9501953125,1744500.0
2021-03-08,16432.80078125,16541.94921875,16214.4501953125,16285.4501953125,1262200.0
2021-03-09,16451.900390625,16689.150390625,16437.849609375,16649.75,1495900.0
2021-03-10,16745.44921875,16772.55078125,16610.349609375,16689.69921875,1017200.0
2021-03-12,16962.849609375,16962.849609375,16387.0,16506.349609375,1776100.0
2021-03-15,16518.30078125,16518.30078125,16056.2001953125,16301.25,1566500.0
2021-03-16,16382.650390625,16412.80078125,16142.5,16167.150390625,100.0
2021-03-17,16219.349609375,16295.0498046875,15937.75,15977.400390625,100.0
2021-03-18,16135.150390625,16202.099609375,15774.150390625,15848.599609375,1394200.0
2021-03-19,15733.099609375,16091.25,15642.900390625,15985.349609375,2065100.0
