,date,equity
220,2019-05-01,7919.73
221,2019-06-01,2595.52
222,2019-07-01,-12418.73
223,2019-08-01,-17592.28
224,2019-09-01,7547.89
225,2019-10-01,12367.99
226,2019-11-01,25230.63
227,2019-12-01,7338.40
228,2020-01-01,12122.58
229,2020-02-01,1819.83
230,2020-03-01,-61972.75
231,2020-04-01,-6883.57
232,2020-05-01,14568.77
233,2020-06-01,21831.62
234,2020-07-01,7562.71
235,2020-08-01,47079.65
236,2020-09-01,-7782.53
237,2020-10-01,19540.73
238,2020-11-01,60357.67
239,2020-12-01,62015.68
240,2021-01-01,19472.51
241,2021-02-01,25786.76
242,2021-03-01,10481.96
243,2021-04-01,-9659.14
244,2021-05-01,-2954.34
245,2021-06-01,17215.01
246,2021-07-01,-11308.36
247,2021-08-01,2082.94
248,2021-09-01,13153.69
249,2021-10-01,-13549.67
250,2021-11-01,-5945.10
251,2021-12-01,-19026.06
252,2022-01-01,-33303.45
253,2022-02-01,-35591.98
254,2022-03-01,-41123.14
255,2022-04-01,-17143.75
256,2022-05-01,-39993.22
257,2022-06-01,-50202.81
258,2022-07-01,4988.79
259,2022-08-01,51204.42
260,2022-09-01,-7623.66
261,2022-10-01,-8.29
262,2022-11-01,36238.66
263,2022-12-01,11118.99
264,2023-01-01,-28852.02
265,2023-02-01,-5294.31
266,2023-03-01,7935.63
267,2023-04-01,11630.82
268,2023-05-01,43838.11
269,2023-06-01,47148.34
270,2023-07-01,46617.76
271,2023-08-01,-774.18
