Date,Udemy,Easter,Christmas
4/16/2017,415,1,0
4/17/2017,570,0,0
4/18/2017,623,0,0
4/19/2017,615,0,0
4/20/2017,693,0,0
4/21/2017,554,0,0
4/22/2017,409,0,0
4/23/2017,384,0,0
4/24/2017,626,0,0
4/25/2017,627,0,0
4/26/2017,618,0,0
4/27/2017,611,0,0
4/28/2017,538,0,0
4/29/2017,383,0,0
4/30/2017,408,0,0
5/1/2017,552,0,0
5/2/2017,635,0,0
5/3/2017,605,0,0
5/4/2017,585,0,0
5/5/2017,526,0,0
5/6/2017,399,0,0
5/7/2017,470,0,0
5/8/2017,576,0,0
5/9/2017,576,0,0
5/10/2017,539,0,0
5/11/2017,545,0,0
5/12/2017,445,0,0
5/13/2017,345,0,0
5/14/2017,371,0,0
5/15/2017,623,0,0
5/16/2017,614,0,0
5/17/2017,633,0,0
5/18/2017,575,0,0
5/19/2017,575,0,0
5/20/2017,456,0,0
5/21/2017,454,0,0
5/22/2017,735,0,0
5/23/2017,726,0,0
5/24/2017,636,0,0
5/25/2017,689,0,0
5/26/2017,701,0,0
5/27/2017,464,0,0
5/28/2017,407,0,0
5/29/2017,558,0,0
5/30/2017,623,0,0
5/31/2017,600,0,0
6/1/2017,563,0,0
6/2/2017,574,0,0
6/3/2017,374,0,0
6/4/2017,398,0,0
6/5/2017,613,0,0
6/6/2017,619,0,0
6/7/2017,578,0,0
6/8/2017,607,0,0
6/9/2017,523,0,0
6/10/2017,417,0,0
6/11/2017,442,0,0
6/12/2017,594,0,0
6/13/2017,632,0,0
6/14/2017,595,0,0
6/15/2017,552,0,0
6/16/2017,493,0,0
6/17/2017,421,0,0
6/18/2017,386,0,0
6/19/2017,629,0,0
6/20/2017,640,0,0
6/21/2017,597,0,0
6/22/2017,583,0,0
6/23/2017,531,0,0
6/24/2017,418,0,0
6/25/2017,492,0,0
6/26/2017,671,0,0
6/27/2017,678,0,0
6/28/2017,644,0,0
6/29/2017,664,0,0
6/30/2017,659,0,0
7/1/2017,433,0,0
7/2/2017,457,0,0
7/3/2017,602,0,0
7/4/2017,685,0,0
7/5/2017,726,0,0
7/6/2017,724,0,0
7/7/2017,624,0,0
7/8/2017,495,0,0
7/9/2017,510,0,0
7/10/2017,673,0,0
7/11/2017,672,0,0
7/12/2017,749,0,0
7/13/2017,648,0,0
7/14/2017,647,0,0
7/15/2017,509,0,0
7/16/2017,532,0,0
7/17/2017,687,0,0
7/18/2017,742,0,0
7/19/2017,667,0,0
7/20/2017,738,0,0
7/21/2017,615,0,0
